capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
belem___pa,"10:15,01_a_20,00",2.882,M,2020
belem___pa,"11:mais_de_20,00",4.001,M,2020
macapa___ap,"00:ate_0,50",626,M,2020
macapa___ap,"01:0,51_a_1,00",5.097,M,2020
macapa___ap,"02:1,01_a_1,50",13.898,M,2020
macapa___ap,"03:1,51_a_2,00",5.841,M,2020
macapa___ap,"04:2,01_a_3,00",6.207,M,2020
macapa___ap,"05:3,01_a_4,00",2.897,M,2020
macapa___ap,"06:4,01_a_5,00",4.021,M,2020
macapa___ap,"07:5,01_a_7,00",5.737,M,2020
macapa___ap,"08:7,01_a_10,00",4.238,M,2020
macapa___ap,"09:10,01_a_15,00",2.178,M,2020
macapa___ap,"10:15,01_a_20,00",792,M,2020
macapa___ap,"11:mais_de_20,00",999,M,2020
palmas___to,"00:ate_0,50",453,M,2020
palmas___to,"01:0,51_a_1,00",4.142,M,2020
palmas___to,"02:1,01_a_1,50",14.886,M,2020
palmas___to,"03:1,51_a_2,00",7.547,M,2020
palmas___to,"04:2,01_a_3,00",9.380,M,2020
palmas___to,"05:3,01_a_4,00",5.571,M,2020
palmas___to,"06:4,01_a_5,00",3.507,M,2020
palmas___to,"07:5,01_a_7,00",3.850,M,2020
palmas___to,"08:7,01_a_10,00",3.765,M,2020
palmas___to,"09:10,01_a_15,00",3.101,M,2020
palmas___to,"10:15,01_a_20,00",1.474,M,2020
palmas___to,"11:mais_de_20,00",1.816,M,2020
sao_luiz___ma,"00:ate_0,50",1.109,M,2020
sao_luiz___ma,"01:0,51_a_1,00",14.151,M,2020
sao_luiz___ma,"02:1,01_a_1,50",58.911,M,2020
sao_luiz___ma,"03:1,51_a_2,00",28.511,M,2020
sao_luiz___ma,"04:2,01_a_3,00",23.132,M,2020
sao_luiz___ma,"05:3,01_a_4,00",15.548,M,2020
sao_luiz___ma,"06:4,01_a_5,00",10.239,M,2020
sao_luiz___ma,"07:5,01_a_7,00",12.366,M,2020
sao_luiz___ma,"08:7,01_a_10,00",8.389,M,2020
sao_luiz___ma,"09:10,01_a_15,00",4.378,M,2020
sao_luiz___ma,"10:15,01_a_20,00",2.325,M,2020
sao_luiz___ma,"11:mais_de_20,00",2.060,M,2020
terezina___pi,"00:ate_0,50",1.360,M,2020
terezina___pi,"01:0,51_a_1,00",19.540,M,2020
terezina___pi,"02:1,01_a_1,50",52.222,M,2020
terezina___pi,"03:1,51_a_2,00",19.864,M,2020
terezina___pi,"04:2,01_a_3,00",13.308,M,2020
terezina___pi,"05:3,01_a_4,00",11.133,M,2020
terezina___pi,"06:4,01_a_5,00",4.321,M,2020
terezina___pi,"07:5,01_a_7,00",4.011,M,2020
terezina___pi,"08:7,01_a_10,00",5.163,M,2020
terezina___pi,"09:10,01_a_15,00",4.034,M,2020
terezina___pi,"10:15,01_a_20,00",1.853,M,2020
terezina___pi,"11:mais_de_20,00",1.549,M,2020
fortaleza___ce,"00:ate_0,50",5.374,M,2020
fortaleza___ce,"01:0,51_a_1,00",54.858,M,2020
fortaleza___ce,"02:1,01_a_1,50",149.957,M,2020
fortaleza___ce,"03:1,51_a_2,00",59.790,M,2020
fortaleza___ce,"04:2,01_a_3,00",45.856,M,2020
fortaleza___ce,"05:3,01_a_4,00",29.121,M,2020
fortaleza___ce,"06:4,01_a_5,00",16.663,M,2020
fortaleza___ce,"07:5,01_a_7,00",20.541,M,2020
fortaleza___ce,"08:7,01_a_10,00",10.651,M,2020
fortaleza___ce,"09:10,01_a_15,00",8.323,M,2020
fortaleza___ce,"10:15,01_a_20,00",5.148,M,2020
fortaleza___ce,"11:mais_de_20,00",5.255,M,2020
natal___rn,"00:ate_0,50",2.007,M,2020
natal___rn,"01:0,51_a_1,00",16.874,M,2020
natal___rn,"02:1,01_a_1,50",49.289,M,2020
natal___rn,"03:1,51_a_2,00",21.283,M,2020
natal___rn,"04:2,01_a_3,00",19.984,M,2020
natal___rn,"05:3,01_a_4,00",11.542,M,2020
natal___rn,"06:4,01_a_5,00",7.828,M,2020
natal___rn,"07:5,01_a_7,00",8.148,M,2020
natal___rn,"08:7,01_a_10,00",4.519,M,2020
natal___rn,"09:10,01_a_15,00",5.075,M,2020
natal___rn,"10:15,01_a_20,00",2.831,M,2020
natal___rn,"11:mais_de_20,00",2.144,M,2020
joao_pessoa___pb,"00:ate_0,50",1.298,M,2020
joao_pessoa___pb,"01:0,51_a_1,00",17.776,M,2020
joao_pessoa___pb,"02:1,01_a_1,50",54.369,M,2020
joao_pessoa___pb,"03:1,51_a_2,00",19.744,M,2020
joao_pessoa___pb,"04:2,01_a_3,00",21.857,M,2020
joao_pessoa___pb,"05:3,01_a_4,00",9.031,M,2020
joao_pessoa___pb,"06:4,01_a_5,00",4.524,M,2020
joao_pessoa___pb,"07:5,01_a_7,00",5.446,M,2020
joao_pessoa___pb,"08:7,01_a_10,00",4.264,M,2020
joao_pessoa___pb,"09:10,01_a_15,00",3.386,M,2020
joao_pessoa___pb,"10:15,01_a_20,00",2.424,M,2020
