capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
rio_de_janeiro___rj,"00:ate_0,50",25,1.212,6.231,1.761,2.916,2.265,1.625,176,F,2022
rio_de_janeiro___rj,"01:0,51_a_1,00",5,913,18.478,8.823,13.183,9.769,6.576,603,F,2022
rio_de_janeiro___rj,"02:1,01_a_1,50",1,85,47.350,51.045,79.160,63.212,46.714,3.854,F,2022
rio_de_janeiro___rj,"03:1,51_a_2,00",0,58,11.963,20.056,39.245,34.092,24.302,2.210,F,2022
rio_de_janeiro___rj,"04:2,01_a_3,00",0,31,6.450,15.954,39.956,39.764,29.849,3.846,F,2022
rio_de_janeiro___rj,"05:3,01_a_4,00",0,5,2.158,8.082,23.072,21.114,16.205,2.153,F,2022
rio_de_janeiro___rj,"06:4,01_a_5,00",0,2,990,4.425,13.793,13.004,10.545,1.611,F,2022
rio_de_janeiro___rj,"07:5,01_a_7,00",0,4,775,4.933,22.247,20.053,15.049,2.008,F,2022
rio_de_janeiro___rj,"08:7,01_a_10,00",0,1,678,2.674,14.986,17.323,13.363,2.161,F,2022
rio_de_janeiro___rj,"09:10,01_a_15,00",0,0,657,1.743,10.405,13.700,10.875,1.692,F,2022
rio_de_janeiro___rj,"10:15,01_a_20,00",0,0,238,678,3.523,5.897,5.410,952,F,2022
rio_de_janeiro___rj,"11:mais_de_20,00",0,0,241,1.118,5.159,7.406,5.449,761,F,2022
sao_paulo___sp,"00:ate_0,50",22,1.198,4.831,1.847,3.533,4.214,6.235,985,F,2022
sao_paulo___sp,"01:0,51_a_1,00",23,4.708,43.452,15.118,22.411,19.692,18.122,1.547,F,2022
sao_paulo___sp,"02:1,01_a_1,50",1,1.376,123.070,88.307,141.222,122.049,89.172,4.868,F,2022
sao_paulo___sp,"03:1,51_a_2,00",0,201,63.918,63.496,105.818,88.922,61.082,4.069,F,2022
sao_paulo___sp,"04:2,01_a_3,00",0,63,36.598,59.606,120.925,98.965,59.778,4.996,F,2022
sao_paulo___sp,"05:3,01_a_4,00",0,11,14.743,34.475,77.224,63.300,39.541,3.652,F,2022
sao_paulo___sp,"06:4,01_a_5,00",0,10,6.844,21.240,52.372,45.409,30.096,2.990,F,2022
sao_paulo___sp,"07:5,01_a_7,00",0,2,5.350,22.732,66.457,63.723,42.261,3.435,F,2022
sao_paulo___sp,"08:7,01_a_10,00",0,2,2.773,13.489,49.163,47.371,35.718,3.186,F,2022
sao_paulo___sp,"09:10,01_a_15,00",0,4,2.287,7.137,33.698,31.176,22.107,2.494,F,2022
sao_paulo___sp,"10:15,01_a_20,00",0,2,1.082,2.655,12.868,13.816,10.210,1.335,F,2022
sao_paulo___sp,"11:mais_de_20,00",0,2,1.468,5.551,22.169,22.296,11.001,1.151,F,2022
curitiba___pr,"00:ate_0,50",5,158,694,409,655,583,424,36,F,2022
curitiba___pr,"01:0,51_a_1,00",23,1.782,9.205,3.609,5.443,4.774,3.946,229,F,2022
curitiba___pr,"02:1,01_a_1,50",0,383,26.401,17.774,25.839,22.956,18.341,860,F,2022
curitiba___pr,"03:1,51_a_2,00",0,39,11.338,12.087,19.532,15.939,10.768,621,F,2022
curitiba___pr,"04:2,01_a_3,00",1,7,5.278,9.849,20.712,17.848,10.929,920,F,2022
curitiba___pr,"05:3,01_a_4,00",0,3,1.453,5.001,12.137,16.045,12.767,1.137,F,2022
curitiba___pr,"06:4,01_a_5,00",0,3,418,2.082,7.721,9.480,6.882,470,F,2022
curitiba___pr,"07:5,01_a_7,00",0,4,354,1.899,9.147,12.958,12.849,875,F,2022
curitiba___pr,"08:7,01_a_10,00",0,2,237,833,5.180,6.206,5.217,413,F,2022
curitiba___pr,"09:10,01_a_15,00",0,1,227,465,2.609,3.881,3.850,310,F,2022
curitiba___pr,"10:15,01_a_20,00",0,0,166,237,884,1.484,1.546,182,F,2022
curitiba___pr,"11:mais_de_20,00",0,0,122,427,1.750,1.926,1.595,148,F,2022
florianopolis___sc,"00:ate_0,50",0,52,290,149,218,222,137,9,F,2022
florianopolis___sc,"01:0,51_a_1,00",23,609,2.391,1.122,1.730,1.402,1.199,96,F,2022
florianopolis___sc,"02:1,01_a_1,50",0,82,6.518,4.478,6.805,5.779,4.492,273,F,2022
florianopolis___sc,"03:1,51_a_2,00",0,14,4.512,4.655,6.611,4.613,2.684,130,F,2022
florianopolis___sc,"04:2,01_a_3,00",1,13,2.242,4.131,7.628,5.440,3.054,166,F,2022
florianopolis___sc,"05:3,01_a_4,00",0,1,493,1.884,4.577,3.299,1.682,101,F,2022
florianopolis___sc,"06:4,01_a_5,00",0,0,212,1.086,4.365,4.336,2.490,143,F,2022
florianopolis___sc,"07:5,01_a_7,00",0,0,258,1.272,5.468,5.666,3.404,207,F,2022
florianopolis___sc,"08:7,01_a_10,00",0,0,129,529,3.313,4.462,2.900,235,F,2022
florianopolis___sc,"09:10,01_a_15,00",0,1,76,280,2.079,3.080,2.271,192,F,2022
florianopolis___sc,"10:15,01_a_20,00",0,0,46,110,707,1.101,948,94,F,2022
florianopolis___sc,"11:mais_de_20,00",0,0,40,156,586,801,669,77,F,2022
porto_alegre___rs,"00:ate_0,50",17,468,830,228,354,280,304,62,F,2022
porto_alegre___rs,"01:0,51_a_1,00",25,1.403,5.494,1.847,2.637,2.326,2.111,300,F,2022
porto_alegre___rs,"02:1,01_a_1,50",0,127,14.547,10.914,16.968,15.047,12.686,1.009,F,2022
porto_alegre___rs,"03:1,51_a_2,00",0,10,6.050,7.999,14.920,16.643,13.440,940,F,2022
porto_alegre___rs,"04:2,01_a_3,00",0,9,3.234,7.242,15.931,16.565,12.919,908,F,2022
