CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;06:4,01 a 5,00;0;0;444;1.232;4.096;3.432;1.389;139;0;10.732;0;0;91;266;720;696;1.362;226;0;3.361;0;0;535;1.498;4.816;4.128;2.751;365;0;14.093
;07:5,01 a 7,00;0;0;74;308;1.409;2.446;2.228;231;0;6.696;0;0;51;252;1.096;2.373;4.944;461;1;9.178;0;0;125;560;2.505;4.819;7.172;692;1;15.874
;08:7,01 a 10,00;0;0;24;149;1.017;1.042;1.220;223;0;3.675;0;0;19;129;801;1.418;1.706;162;0;4.235;0;0;43;278;1.818;2.460;2.926;385;0;7.910
;09:10,01 a 15,00;0;0;7;149;585;748;1.100;210;0;2.799;0;0;3;96;399;567;1.143;126;0;2.334;0;0;10;245;984;1.315;2.243;336;0;5.133
;10:15,01 a 20,00;0;0;5;36;260;358;508;92;0;1.259;0;0;2;15;172;258;494;59;0;1.000;0;0;7;51;432;616;1.002;151;0;2.259
;11:Mais de 20,00;0;0;0;99;499;1.000;1.158;231;0;2.987;0;0;0;49;259;560;742;74;0;1.684;0;0;0;148;758;1.560;1.900;305;0;4.671
;{ñ class};0;0;5;15;22;18;25;4;0;89;0;0;12;14;24;23;11;2;0;86;0;0;17;29;46;41;36;6;0;175
240810:Natal - RN;Total;0;5;230;563;1.395;977;830;70;0;4.070;0;1;301;571;1.240;736;441;30;0;3.320;0;6;531;1.134;2.635;1.713;1.271;100;0;7.390
;00:Até 0,50;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;2
;01:0,51 a 1,00;0;0;6;12;17;12;12;2;0;61;0;0;8;11;14;18;11;0;0;62;0;0;14;23;31;30;23;2;0;123
;02:1,01 a 1,50;0;3;85;111;191;126;58;2;0;576;0;1;137;168;225;141;39;1;0;712;0;4;222;279;416;267;97;3;0;1.288
;03:1,51 a 2,00;0;0;49;100;183;114;68;2;0;516;0;0;63;98;186;77;41;2;0;467;0;0;112;198;369;191;109;4;0;983
;04:2,01 a 3,00;0;2;43;128;272;171;102;5;0;723;0;0;53;124;259;124;55;4;0;619;0;2;96;252;531;295;157;9;0;1.342
;05:3,01 a 4,00;0;0;23;62;148;73;61;4;0;371;0;0;17;52;132;77;15;0;0;293;0;0;40;114;280;150;76;4;0;664
;06:4,01 a 5,00;0;0;7;37;95;54;38;1;0;232;0;0;15;39;60;49;24;1;0;188;0;0;22;76;155;103;62;2;0;420
;07:5,01 a 7,00;0;0;11;43;103;77;91;6;0;331;0;0;4;34;90;53;34;2;0;217;0;0;15;77;193;130;125;8;0;548
;08:7,01 a 10,00;0;0;3;26;101;89;85;9;0;313;0;0;3;26;67;51;51;5;0;203;0;0;6;52;168;140;136;14;0;516
;09:10,01 a 15,00;0;0;2;32;83;59;76;11;0;263;0;0;1;10;61;56;38;3;0;169;0;0;3;42;144;115;114;14;0;432
;10:15,01 a 20,00;0;0;0;4;74;46;81;5;0;210;0;0;0;6;42;22;62;4;0;136;0;0;0;10;116;68;143;9;0;346
;11:Mais de 20,00;0;0;0;6;120;150;154;23;0;453;0;0;0;2;101;65;68;8;0;244;0;0;0;8;221;215;222;31;0;697
