CBO 2002 Gr Grupo = {ñ class}
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
;08:7,01 a 10,00;0;0;143;614;2.414;3.163;1.823;106;6;8.269;0;0;85;408;1.960;3.038;1.423;45;1;6.960;0;0;228;1.022;4.374;6.201;3.246;151;7;15.229
;09:10,01 a 15,00;0;0;46;343;2.150;2.175;1.205;83;2;6.004;0;0;41;203;1.160;1.730;758;29;1;3.922;0;0;87;546;3.310;3.905;1.963;112;3;9.926
;10:15,01 a 20,00;0;0;36;181;950;1.464;661;64;7;3.363;0;0;10;96;551;811;378;8;0;1.854;0;0;46;277;1.501;2.275;1.039;72;7;5.217
;11:Mais de 20,00;0;1;14;153;1.138;1.979;1.546;128;4;4.963;0;0;13;76;691;1.221;770;64;0;2.835;0;1;27;229;1.829;3.200;2.316;192;4;7.798
;{ñ class};0;2;209;181;276;168;70;0;0;906;0;0;11;12;29;25;17;1;0;95;0;2;220;193;305;193;87;1;0;1.001
160030:Macapá - AP;Total;6;83;3.958;5.003;9.102;5.452;2.923;291;3;26.821;8;62;2.347;3.366;7.703;5.532;2.455;131;1;21.605;14;145;6.305;8.369;16.805;10.984;5.378;422;4;48.426
;00:Até 0,50;2;11;2;3;3;1;2;0;0;24;3;11;0;0;1;0;0;0;0;15;5;22;2;3;4;1;2;0;0;39
;01:0,51 a 1,00;2;39;492;227;184;77;48;5;1;1.075;4;28;274;168;168;87;33;1;0;763;6;67;766;395;352;164;81;6;1;1.838
;02:1,01 a 1,50;1;25;1.580;1.134;1.052;398;239;29;1;4.459;1;18;863;715;939;523;208;4;0;3.271;2;43;2.443;1.849;1.991;921;447;33;1;7.730
;03:1,51 a 2,00;1;6;771;887;1.136;532;296;31;1;3.661;0;4;478;519;902;640;283;6;0;2.832;1;10;1.249;1.406;2.038;1.172;579;37;1;6.493
;04:2,01 a 3,00;0;2;566;1.048;1.739;891;396;51;0;4.693;0;1;325;390;515;271;107;12;0;1.621;0;3;891;1.438;2.254;1.162;503;63;0;6.314
;05:3,01 a 4,00;0;0;188;327;795;495;241;31;0;2.077;0;0;128;177;407;384;334;35;1;1.466;0;0;316;504;1.202;879;575;66;1;3.543
;06:4,01 a 5,00;0;0;145;265;728;416;180;16;0;1.750;0;0;79;176;553;381;169;7;0;1.365;0;0;224;441;1.281;797;349;23;0;3.115
;07:5,01 a 7,00;0;0;154;651;1.306;855;548;82;0;3.596;0;0;150;629;1.951;1.262;638;37;0;4.667;0;0;304;1.280;3.257;2.117;1.186;119;0;8.263
;08:7,01 a 10,00;0;0;33;243;894;693;380;25;0;2.268;0;0;30;428;1.216;785;264;16;0;2.739;0;0;63;671;2.110;1.478;644;41;0;5.007
;09:10,01 a 15,00;0;0;11;128;739;485;269;9;0;1.641;0;0;11;97;727;613;201;11;0;1.660;0;0;22;225;1.466;1.098;470;20;0;3.301
;10:15,01 a 20,00;0;0;8;38;251;277;117;5;0;696;0;0;5;36;186;298;116;0;0;641;0;0;13;74;437;575;233;5;0;1.337
;11:Mais de 20,00;0;0;3;47;264;326;205;6;0;851;0;0;4;28;126;282;100;2;0;542;0;0;7;75;390;608;305;8;0;1.393
;{ñ class};0;0;5;5;11;6;2;1;0;30;0;0;0;3;12;6;2;0;0;23;0;0;5;8;23;12;4;1;0;53
172100:Palmas - TO;Total;0;148;5.794;6.308;10.749;6.319;3.609;389;7;33.323;1;91;3.754;5.008;11.376;8.245;3.284;107;4;31.870;1;239;9.548;11.316;22.125;14.564;6.893;496;11;65.193
;00:Até 0,50;0;5;4;2;3;0;0;0;0;14;0;2;2;1;2;0;0;0;0;7;0;7;6;3;5;0;0;0;0;21
;01:0,51 a 1,00;0;22;170;85;72;28;10;2;0;389;0;11;212;131;153;100;34;0;0;641;0;33;382;216;225;128;44;2;0;1.030
;02:1,01 a 1,50;0;101;2.034;967;835;358;262;51;3;4.611;1;58;1.207;713;965;580;193;10;0;3.727;1;159;3.241;1.680;1.800;938;455;61;3;8.338
;03:1,51 a 2,00;0;13;1.286;1.050;1.352;967;973;156;1;5.798;0;9;752;858;2.240;2.418;1.505;37;1;7.820;0;22;2.038;1.908;3.592;3.385;2.478;193;2;13.618
;04:2,01 a 3,00;0;5;1.325;1.713;2.380;1.251;600;44;1;7.319;0;8;818;1.208;2.353;1.236;328;11;0;5.962;0;13;2.143;2.921;4.733;2.487;928;55;1;13.281
;05:3,01 a 4,00;0;0;360;597;1.032;724;395;32;0;3.140;0;1;257;469;1.742;1.192;445;5;0;4.111;0;1;617;1.066;2.774;1.916;840;37;0;7.251
;06:4,01 a 5,00;0;1;241;337;619;380;233;20;1;1.832;0;0;197;341;803;734;255;11;0;2.341;0;1;438;678;1.422;1.114;488;31;1;4.173
;07:5,01 a 7,00;0;1;273;1.011;2.584;1.094;459;27;1;5.450;0;0;182;617;1.347;891;227;11;3;3.278;0;1;455;1.628;3.931;1.985;686;38;4;8.728
;08:7,01 a 10,00;0;0;83;394;1.125;788;313;27;0;2.730;0;1;103;542;1.314;748;197;12;0;2.917;0;1;186;936;2.439;1.536;510;39;0;5.647
;09:10,01 a 15,00;0;0;14;98;403;344;155;16;0;1.030;0;0;18;76;267;190;45;7;0;603;0;0;32;174;670;534;200;23;0;1.633
;10:15,01 a 20,00;0;0;1;27;187;198;91;9;0;513;0;0;3;25;91;72;20;2;0;213;0;0;4;52;278;270;111;11;0;726
;11:Mais de 20,00;0;0;1;27;154;187;116;4;0;489;0;1;1;27;98;83;35;1;0;246;0;1;2;54;252;270;151;5;0;735
;{ñ class};0;0;2;0;3;0;2;1;0;8;0;0;2;0;1;1;0;0;0;4;0;0;4;0;4;1;2;1;0;12
211130:São Luiz - MA;Total;11;220;12.045;14.992;32.152;24.971;13.757;1.103;65;99.316;4;113;7.111;8.561;22.538;24.574;13.429;449;75;76.854;15;333;19.156;23.553;54.690;49.545;27.186;1.552;140;176.170
;00:Até 0,50;4;59;15;18;22;13;7;3;0;141;2;20;18;8;25;19;14;0;0;106;6;79;33;26;47;32;21;3;0;247
