,faixa_remuneracao_media_sm,sexo_cod,total_pessoas,Adm Técnica Profissional,Transporte e Comunicações,Aloj Comunic,Médicos Odontológicos Vet,Ensino,Administração Pública,Agricultura,Atividades de exploração de jogos de azar e apostas,Atividades esportivas,Atividades de recreação e lazer,"Atividades de organizações associativas patronais, empresariais e profissionais",Atividades de organizações sindicais,Atividades de associações de defesa de direitos sociais,Atividades de organizações associativas não especificadas anteriormente,Reparação e manutenção de equipamentos de informática e comunicação,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,Outras atividades de serviços pessoais,Serviços domésticos,Organismos internacionais e outras instituições extraterritoriais,Fabricação de veículos militares de combate,Sedes de empresas e unidades administrativas locais,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado
341,0,1,77832.0,8582.0,6125.0,9032.0,923.0,1317.0,3077.0,531.0,0.0,177.0,89.0,33.0,33.0,254.0,390.0,75.0,107.0,191.0,10.0,2.0,0.0,0.0,15614.0,21904.0,10837.0,6129.0,466.0,629.0,4.0,2.0,1.0,13.0,244.0,3.0,0.0,272.0,8218.0,7201.0,49949.0,1321.0,1196.0,36.0,10.0
342,0,0,37510.0,2509.0,1698.0,2067.0,2288.0,1181.0,7175.0,35.0,0.0,31.0,15.0,38.0,35.0,235.0,286.0,14.0,11.0,108.0,1.0,0.0,0.0,0.0,6133.0,12063.0,7171.0,4056.0,376.0,183.0,1.0,0.0,0.0,8.0,199.0,1.0,0.0,467.0,1911.0,1186.0,25172.0,1673.0,3534.0,47.0,12.0
343,0,1,59098.0,8776.0,4627.0,3039.0,768.0,779.0,4452.0,251.0,0.0,51.0,31.0,37.0,17.0,284.0,229.0,41.0,38.0,70.0,1.0,0.0,0.0,0.0,10961.0,19944.0,10381.0,5898.0,430.0,484.0,1.0,0.0,0.0,9.0,389.0,2.0,0.0,334.0,5167.0,4045.0,39028.0,1345.0,1966.0,35.0,11.0
352,1,0,8197.0,229.0,163.0,237.0,257.0,871.0,5040.0,1.0,0.0,3.0,0.0,22.0,0.0,44.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,2521.0,2586.0,1949.0,205.0,14.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,55.0,47.0,33.0,1350.0,389.0,6111.0,164.0,28.0
353,1,1,12249.0,592.0,443.0,306.0,170.0,820.0,5577.0,3.0,0.0,4.0,0.0,12.0,0.0,45.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1079.0,3849.0,3890.0,2703.0,385.0,25.0,0.0,0.0,0.0,4.0,8.0,2.0,0.0,12.0,676.0,233.0,4503.0,806.0,5569.0,183.0,35.0
354,1,0,4482.0,136.0,66.0,210.0,82.0,553.0,2553.0,0.0,0.0,2.0,0.0,4.0,1.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,1320.0,1312.0,1300.0,133.0,8.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,9.0,33.0,16.0,654.0,148.0,3407.0,136.0,41.0
355,1,1,7888.0,396.0,260.0,226.0,68.0,618.0,3505.0,1.0,0.0,3.0,0.0,5.0,0.0,33.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,688.0,2382.0,2473.0,1980.0,244.0,12.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,2.0,210.0,117.0,1948.0,419.0,4558.0,180.0,58.0
356,1,0,1648.0,44.0,23.0,35.0,28.0,150.0,1083.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,476.0,570.0,526.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,199.0,47.0,1324.0,31.0,17.0
357,1,1,3351.0,149.0,96.0,54.0,23.0,195.0,1522.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,149.0,968.0,1078.0,1026.0,105.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,75.0,27.0,666.0,145.0,2256.0,63.0,24.0
358,3,0,1737.0,54.0,14.0,18.0,9.0,59.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,333.0,564.0,641.0,70.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,120.0,24.0,1500.0,38.0,35.0
