;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
;03:1,51 a 2,00;15;125;97;311;426;396;4.368;223;1.028;12;1;7.002;3;7;17;32;107;77;3.302;267;1.353;15;0;5.180;18;132;114;343;533;473;7.670;490;2.381;27;1;12.182
;04:2,01 a 3,00;4;37;50;115;294;183;3.767;219;2.949;15;4;7.637;2;1;5;6;52;20;2.093;162;3.835;16;1;6.193;6;38;55;121;346;203;5.860;381;6.784;31;5;13.830
;05:3,01 a 4,00;1;33;10;79;288;26;1.294;89;1.552;24;4;3.400;0;22;0;61;345;5;707;58;1.951;21;3;3.173;1;55;10;140;633;31;2.001;147;3.503;45;7;6.573
;06:4,01 a 5,00;0;4;1;9;24;8;587;44;1.397;16;4;2.094;0;0;0;5;8;3;377;26;2.182;26;0;2.627;0;4;1;14;32;11;964;70;3.579;42;4;4.721
;07:5,01 a 7,00;0;55;8;258;339;16;1.628;53;4.921;29;10;7.317;0;17;1;63;240;6;1.839;37;6.554;35;6;8.798;0;72;9;321;579;22;3.467;90;11.475;64;16;16.115
;08:7,01 a 10,00;0;2;7;10;25;12;525;72;3.821;156;9;4.639;0;1;0;0;7;4;363;37;5.742;170;10;6.334;0;3;7;10;32;16;888;109;9.563;326;19;10.973
;09:10,01 a 15,00;0;3;2;2;20;4;258;24;2.164;57;90;2.624;0;0;0;2;8;1;159;15;1.916;66;80;2.247;0;3;2;4;28;5;417;39;4.080;123;170;4.871
;10:15,01 a 20,00;0;0;0;2;16;1;182;12;586;15;38;852;0;0;0;1;2;0;84;9;362;10;27;495;0;0;0;3;18;1;266;21;948;25;65;1.347
;11:Mais de 20,00;0;1;1;1;1;1;104;7;1.002;26;33;1.177;0;0;0;0;1;1;25;5;515;7;23;577;0;1;1;1;2;2;129;12;1.517;33;56;1.754
;{ñ class};1;10;9;7;38;21;118;2;135;3;3;347;1;5;1;6;18;8;65;8;43;3;0;158;2;15;10;13;56;29;183;10;178;6;3;505
