capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
vitoria___es,"06:4,01_a_5,00",0,1,81,546,2818,2535,1835,131,F,2022
vitoria___es,"07:5,01_a_7,00",0,0,100,346,2296,2141,1383,117,F,2022
vitoria___es,"08:7,01_a_10,00",0,0,114,166,1297,1429,1117,107,F,2022
vitoria___es,"09:10,01_a_15,00",0,0,47,88,601,1052,777,95,F,2022
vitoria___es,"10:15,01_a_20,00",0,0,18,46,282,419,412,41,F,2022
vitoria___es,"11:mais_de_20,00",0,0,20,80,386,458,360,61,F,2022
rio_de_janeiro___rj,"00:ate_0,50",25,1212,6231,1761,2916,2265,1625,176,F,2022
rio_de_janeiro___rj,"01:0,51_a_1,00",5,913,18478,8823,13183,9769,6576,603,F,2022
rio_de_janeiro___rj,"02:1,01_a_1,50",1,85,47350,51045,79160,63212,46714,3854,F,2022
rio_de_janeiro___rj,"03:1,51_a_2,00",0,58,11963,20056,39245,34092,24302,2210,F,2022
rio_de_janeiro___rj,"04:2,01_a_3,00",0,31,6450,15954,39956,39764,29849,3846,F,2022
rio_de_janeiro___rj,"05:3,01_a_4,00",0,5,2158,8082,23072,21114,16205,2153,F,2022
rio_de_janeiro___rj,"06:4,01_a_5,00",0,2,990,4425,13793,13004,10545,1611,F,2022
rio_de_janeiro___rj,"07:5,01_a_7,00",0,4,775,4933,22247,20053,15049,2008,F,2022
rio_de_janeiro___rj,"08:7,01_a_10,00",0,1,678,2674,14986,17323,13363,2161,F,2022
rio_de_janeiro___rj,"09:10,01_a_15,00",0,0,657,1743,10405,13700,10875,1692,F,2022
rio_de_janeiro___rj,"10:15,01_a_20,00",0,0,238,678,3523,5897,5410,952,F,2022
rio_de_janeiro___rj,"11:mais_de_20,00",0,0,241,1118,5159,7406,5449,761,F,2022
sao_paulo___sp,"00:ate_0,50",22,1198,4831,1847,3533,4214,6235,985,F,2022
sao_paulo___sp,"01:0,51_a_1,00",23,4708,43452,15118,22411,19692,18122,1547,F,2022
sao_paulo___sp,"02:1,01_a_1,50",1,1376,123070,88307,141222,122049,89172,4868,F,2022
sao_paulo___sp,"03:1,51_a_2,00",0,201,63918,63496,105818,88922,61082,4069,F,2022
sao_paulo___sp,"04:2,01_a_3,00",0,63,36598,59606,120925,98965,59778,4996,F,2022
sao_paulo___sp,"05:3,01_a_4,00",0,11,14743,34475,77224,63300,39541,3652,F,2022
sao_paulo___sp,"06:4,01_a_5,00",0,10,6844,21240,52372,45409,30096,2990,F,2022
sao_paulo___sp,"07:5,01_a_7,00",0,2,5350,22732,66457,63723,42261,3435,F,2022
sao_paulo___sp,"08:7,01_a_10,00",0,2,2773,13489,49163,47371,35718,3186,F,2022
sao_paulo___sp,"09:10,01_a_15,00",0,4,2287,7137,33698,31176,22107,2494,F,2022
sao_paulo___sp,"10:15,01_a_20,00",0,2,1082,2655,12868,13816,10210,1335,F,2022
sao_paulo___sp,"11:mais_de_20,00",0,2,1468,5551,22169,22296,11001,1151,F,2022
curitiba___pr,"00:ate_0,50",5,158,694,409,655,583,424,36,F,2022
curitiba___pr,"01:0,51_a_1,00",23,1782,9205,3609,5443,4774,3946,229,F,2022
curitiba___pr,"02:1,01_a_1,50",0,383,26401,17774,25839,22956,18341,860,F,2022
curitiba___pr,"03:1,51_a_2,00",0,39,11338,12087,19532,15939,10768,621,F,2022
curitiba___pr,"04:2,01_a_3,00",1,7,5278,9849,20712,17848,10929,920,F,2022
curitiba___pr,"05:3,01_a_4,00",0,3,1453,5001,12137,16045,12767,1137,F,2022
curitiba___pr,"06:4,01_a_5,00",0,3,418,2082,7721,9480,6882,470,F,2022
curitiba___pr,"07:5,01_a_7,00",0,4,354,1899,9147,12958,12849,875,F,2022
curitiba___pr,"08:7,01_a_10,00",0,2,237,833,5180,6206,5217,413,F,2022
curitiba___pr,"09:10,01_a_15,00",0,1,227,465,2609,3881,3850,310,F,2022
curitiba___pr,"10:15,01_a_20,00",0,0,166,237,884,1484,1546,182,F,2022
curitiba___pr,"11:mais_de_20,00",0,0,122,427,1750,1926,1595,148,F,2022
florianopolis___sc,"00:ate_0,50",0,52,290,149,218,222,137,9,F,2022
florianopolis___sc,"01:0,51_a_1,00",23,609,2391,1122,1730,1402,1199,96,F,2022
florianopolis___sc,"02:1,01_a_1,50",0,82,6518,4478,6805,5779,4492,273,F,2022
florianopolis___sc,"03:1,51_a_2,00",0,14,4512,4655,6611,4613,2684,130,F,2022
florianopolis___sc,"04:2,01_a_3,00",1,13,2242,4131,7628,5440,3054,166,F,2022
florianopolis___sc,"05:3,01_a_4,00",0,1,493,1884,4577,3299,1682,101,F,2022
florianopolis___sc,"06:4,01_a_5,00",0,0,212,1086,4365,4336,2490,143,F,2022
florianopolis___sc,"07:5,01_a_7,00",0,0,258,1272,5468,5666,3404,207,F,2022
florianopolis___sc,"08:7,01_a_10,00",0,0,129,529,3313,4462,2900,235,F,2022
florianopolis___sc,"09:10,01_a_15,00",0,1,76,280,2079,3080,2271,192,F,2022
florianopolis___sc,"10:15,01_a_20,00",0,0,46,110,707,1101,948,94,F,2022
florianopolis___sc,"11:mais_de_20,00",0,0,40,156,586,801,669,77,F,2022
porto_alegre___rs,"00:ate_0,50",17,468,830,228,354,280,304,62,F,2022
porto_alegre___rs,"01:0,51_a_1,00",25,1403,5494,1847,2637,2326,2111,300,F,2022
porto_alegre___rs,"02:1,01_a_1,50",0,127,14547,10914,16968,15047,12686,1009,F,2022
porto_alegre___rs,"03:1,51_a_2,00",0,10,6050,7999,14920,16643,13440,940,F,2022
