;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
150140:Belém - PA;Total;7;514;22.342;29.504;70.863;65.840;52.493;8.643;0;250.206;10;444;13.689;20.151;50.272;49.916;41.521;7.689;0;183.692;1;0;0;0;0;0;0;1;17;958;36.032;49.655;121.135;115.756;94.014;16.332;0;433.899
;00:Até 0,50;2;265;1.141;228;344;257;120;4;0;2.361;3;206;1.113;225;345;197;64;5;0;2.158;0;0;0;0;0;0;0;0;5;471;2.254;453;689;454;184;9;0;4.519
;01:0,51 a 1,00;5;212;3.786;2.014;2.544;1.614;860;63;0;11.098;6;206;2.867;1.743;2.584;1.688;810;47;0;9.951;0;0;0;0;0;0;0;0;11;418;6.653;3.757;5.128;3.302;1.670;110;0;21.049
;02:1,01 a 1,50;0;16;10.259;11.610;19.448;15.128;9.429;763;0;66.653;0;12;6.414;8.638;16.984;14.185;8.405;1.041;0;55.679;0;0;0;0;0;0;0;0;0;28;16.673;20.248;36.432;29.313;17.834;1.804;0;122.332
;03:1,51 a 2,00;0;2;3.192;5.698;12.585;11.162;9.071;1.345;0;43.055;0;2;1.395;3.045;7.123;6.448;5.275;1.134;0;24.422;0;0;0;0;0;0;0;0;0;4;4.587;8.743;19.708;17.610;14.346;2.479;0;67.477
;04:2,01 a 3,00;0;1;1.774;3.205;9.638;10.036;6.841;925;0;32.420;0;3;574;2.075;5.586;5.553;4.360;764;0;18.915;0;0;0;0;0;0;0;0;0;4;2.348;5.280;15.224;15.589;11.201;1.689;0;51.335
;05:3,01 a 4,00;0;1;363;2.140;7.999;5.809;3.658;615;0;20.585;0;1;206;1.144;4.048;3.702;3.116;534;0;12.751;0;0;0;0;0;0;0;0;0;2;569;3.284;12.047;9.511;6.774;1.149;0;33.336
;06:4,01 a 5,00;0;0;91;693;4.165;4.897;4.903;843;0;15.592;0;1;97;518;2.473;3.105;2.983;771;0;9.948;0;0;0;0;0;0;0;0;0;1;188;1.211;6.638;8.002;7.886;1.614;0;25.540
;07:5,01 a 7,00;0;0;171;819;3.195;3.284;3.495;804;0;11.768;0;0;147;728;3.230;4.260;4.508;984;0;13.857;0;0;0;0;0;0;0;0;0;0;318;1.547;6.425;7.544;8.003;1.788;0;25.625
;08:7,01 a 10,00;0;0;126;503;3.376;4.583;4.300;853;0;13.741;0;0;64;372;2.847;4.800;5.664;1.073;0;14.820;0;0;0;0;0;0;0;0;0;0;190;875;6.223;9.383;9.964;1.926;0;28.561
