;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;55:Aprendiz;60:CLT U/ PJ Determinado;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
;05:3,01 a 4,00;34.091;71;41;0;7.228;491;340;1;146;5;894;1;0;0;1;144;54;19;23;43.550;20.860;136;15;0;23.832;1.184;471;0;80;13;601;1;0;0;0;68;80;279;923;48.543;0;0;0;0;54.951;207;56;0;31.060;1.675;811;1;226;18;1.495;2;0;0;1;212;134;298;946;92.093
;06:4,01 a 5,00;17.845;27;21;0;5.747;6;142;0;71;4;426;0;0;0;0;28;50;15;0;24.382;12.233;58;5;0;14.199;5;114;0;36;2;262;0;0;0;2;16;65;59;0;27.056;0;0;0;0;30.078;85;26;0;19.946;11;256;0;107;6;688;0;0;0;2;44;115;74;0;51.438
;07:5,01 a 7,00;18.304;43;10;0;23.267;48;416;0;97;5;338;0;0;0;6;49;21;9;0;42.613;11.584;69;4;0;25.385;91;619;0;42;14;198;0;0;0;1;17;45;17;0;38.086;0;0;0;0;29.888;112;14;0;48.652;139;1.035;0;139;19;536;0;0;0;7;66;66;26;0;80.699
;08:7,01 a 10,00;14.675;15;11;1;9.533;68;403;0;53;4;220;0;0;0;2;14;2;10;0;25.011;7.763;25;3;0;9.555;134;466;0;22;8;86;0;0;0;3;9;1;13;0;18.088;0;0;0;0;22.438;40;14;1;19.088;202;869;0;75;12;306;0;0;0;5;23;3;23;0;43.099
;09:10,01 a 15,00;10.640;11;4;0;6.892;5;430;1;39;0;109;0;0;0;22;4;1;0;0;18.158;5.160;4;1;0;5.764;3;340;0;17;0;44;0;0;0;7;3;0;0;0;11.343;0;0;0;0;15.800;15;5;0;12.656;8;770;1;56;0;153;0;0;0;29;7;1;0;0;29.501
;10:15,01 a 20,00;4.230;4;0;0;3.503;0;310;0;13;0;23;0;0;0;33;1;4;0;0;8.121;2.117;3;3;0;2.134;0;212;0;0;0;11;0;0;0;18;1;0;0;0;4.499;0;0;0;0;6.347;7;3;0;5.637;0;522;0;13;0;34;0;0;0;51;2;4;0;0;12.620
;11:Mais de 20,00;6.226;4;2;0;4.432;0;13;4;2;0;65;0;0;0;129;4;0;0;0;10.881;3.582;1;0;0;2.313;0;6;0;0;0;10;0;0;0;55;1;0;0;0;5.968;0;0;0;0;9.808;5;2;0;6.745;0;19;4;2;0;75;0;0;0;184;5;0;0;0;16.849
;{ñ class};31.350;91;23;0;91;4;33;18;779;78;1.953;1;0;0;355;235;0;3;0;35.014;22.178;232;20;1;86;8;27;0;516;92;1.445;1;0;0;193;199;1;2;0;25.001;0;0;0;0;53.528;323;43;1;177;12;60;18;1.295;170;3.398;2;0;0;548;434;1;5;0;60.015
420540:Florianópolis - SC;Total;92.897;255;15;13;43.764;11;4.724;0;239;907;9.910;10;0;0;144;111;246;0;238;153.484;91.292;577;10;6;42.418;21;8.823;0;421;1.273;12.230;22;0;0;50;110;300;0;435;157.988;0;0;1;1;184.189;832;25;19;86.182;32;13.547;0;660;2.180;22.141;32;0;0;194;221;546;0;673;311.473
;00:Até 0,50;282;1;0;0;109;0;16;0;3;88;347;0;0;0;0;0;0;0;0;846;474;4;0;0;30;0;28;0;13;86;440;2;0;0;0;0;0;0;0;1.077;0;0;0;0;756;5;0;0;139;0;44;0;16;174;787;2;0;0;0;0;0;0;0;1.923
;01:0,51 a 1,00;1.654;2;0;1;1.421;0;375;0;39;774;1.694;0;0;0;0;9;0;0;8;5.977;4.357;16;0;1;236;0;181;0;55;1.119;2.596;5;0;0;0;5;0;0;1;8.572;0;0;0;0;6.011;18;0;2;1.657;0;556;0;94;1.893;4.290;5;0;0;0;14;0;0;9;14.549
;02:1,01 a 1,50;13.007;40;3;5;1.710;0;313;0;68;13;3.204;2;0;0;0;18;84;0;46;18.513;22.534;120;4;0;899;0;190;0;118;28;4.379;8;0;0;0;20;99;0;28;28.427;0;0;0;0;35.541;160;7;5;2.609;0;503;0;186;41;7.583;10;0;0;0;38;183;0;74;46.940
;03:1,51 a 2,00;20.029;80;1;1;663;0;230;0;39;1;2.171;7;0;0;0;32;2;0;90;23.346;19.785;203;1;3;494;2;218;0;65;0;2.327;6;0;0;0;40;8;0;67;23.219;0;0;0;0;39.814;283;2;4;1.157;2;448;0;104;1;4.498;13;0;0;0;72;10;0;157;46.565
;04:2,01 a 3,00;19.769;51;6;3;1.759;2;630;0;6;4;1.104;1;0;0;0;16;70;0;47;23.468;16.532;108;2;1;2.890;6;1.668;0;0;13;1.230;1;0;0;0;29;63;0;132;22.675;0;0;0;0;36.301;159;8;4;4.649;8;2.298;0;6;17;2.334;2;0;0;0;45;133;0;179;46.143
;05:3,01 a 4,00;8.743;23;0;1;1.514;3;790;0;3;1;289;0;0;0;0;7;43;0;11;11.428;6.541;35;2;0;2.381;6;2.634;0;0;4;273;0;0;0;0;8;71;0;82;12.037;0;0;0;0;15.284;58;2;1;3.895;9;3.424;0;3;5;562;0;0;0;0;15;114;0;93;23.465
;06:4,01 a 5,00;4.636;13;1;0;2.565;0;482;0;2;2;128;0;0;0;0;11;33;0;5;7.878;3.965;19;0;0;7.198;0;1.272;0;0;1;113;0;0;0;0;3;46;0;15;12.632;0;0;0;0;8.601;32;1;0;9.763;0;1.754;0;2;3;241;0;0;0;0;14;79;0;20;20.510
;07:5,01 a 7,00;5.189;20;1;0;11.852;4;706;0;1;1;145;0;0;0;0;0;6;0;13;17.938;3.873;16;0;0;10.709;5;1.533;0;0;2;87;0;0;0;0;0;10;0;40;16.275;0;0;0;0;9.062;36;1;0;22.561;9;2.239;0;1;3;232;0;0;0;0;0;16;0;53;34.213
;08:7,01 a 10,00;4.199;6;0;0;8.746;1;406;0;1;0;139;0;0;0;1;3;4;0;8;13.514;2.541;6;0;1;8.556;2;380;0;0;0;47;0;0;0;1;1;2;0;31;11.568;0;0;0;0;6.740;12;0;1;17.302;3;786;0;1;0;186;0;0;0;2;4;6;0;39;25.082
;09:10,01 a 15,00;3.746;3;0;0;6.556;0;491;0;1;0;89;0;0;0;0;1;4;0;8;10.899;1.733;4;0;0;5.629;0;514;0;1;0;60;0;0;0;0;0;1;0;37;7.979;0;0;0;0;5.479;7;0;0;12.185;0;1.005;0;2;0;149;0;0;0;0;1;5;0;45;18.878
;10:15,01 a 20,00;1.918;0;0;0;3.322;0;202;0;0;0;36;0;0;0;5;0;0;0;2;5.485;702;1;0;0;2.100;0;167;0;0;0;31;0;0;0;3;0;0;0;2;3.006;0;0;0;0;2.620;1;0;0;5.422;0;369;0;0;0;67;0;0;0;8;0;0;0;4;8.491
;11:Mais de 20,00;2.210;1;0;0;3.050;0;61;0;2;0;96;0;0;0;24;0;0;0;0;5.444;1.014;0;0;0;1.214;0;21;0;0;0;75;0;0;0;5;0;0;0;0;2.329;0;0;0;0;3.224;1;0;0;4.264;0;82;0;2;0;171;0;0;0;29;0;0;0;0;7.773
;{ñ class};7.515;15;3;2;497;1;22;0;74;23;468;0;0;0;114;14;0;0;0;8.748;7.241;45;1;0;82;0;17;0;169;20;572;0;0;0;41;4;0;0;0;8.192;0;0;1;1;14.756;60;4;2;579;1;39;0;243;43;1.041;0;0;0;155;18;0;0;0;16.941
431490:Porto Alegre - RS;Total;242.900;972;306;103;57.245;2.654;1.386;415;1.009;3.176;17.704;37;0;1;432;331;208;7.012;139;336.030;221.357;2.407;196;10;67.239;2.463;1.219;63;1.046;4.196;17.667;111;0;0;248;466;230;28.731;395;348.044;0;0;2;2;464.257;3.379;502;113;124.484;5.117;2.605;478;2.055;7.372;35.373;148;0;1;680;797;438;35.743;534;684.076
;00:Até 0,50;765;2;0;0;6;0;1;4;23;781;611;0;0;0;1;0;0;0;0;2.194;862;10;0;0;1;0;7;3;20;943;687;6;0;0;0;3;0;1;0;2.543;0;0;0;0;1.627;12;0;0;7;0;8;7;43;1.724;1.298;6;0;0;1;3;0;1;0;4.737
;01:0,51 a 1,00;4.686;18;1;2;36;13;27;17;137;2.251;3.375;2;0;0;0;13;2;62;0;10.642;8.379;89;3;2;47;18;64;3;154;3.074;4.075;17;0;0;1;21;1;194;1;16.143;0;0;0;0;13.065;107;4;4;83;31;91;20;291;5.325;7.450;19;0;0;1;34;3;256;1;26.785
;02:1,01 a 1,50;40.710;166;9;31;424;324;19;9;378;17;6.391;14;0;1;1;121;88;1.208;1;49.912;52.241;685;16;3;1.243;411;58;6;641;26;6.938;49;0;0;0;157;103;8.696;25;71.298;0;0;0;0;92.951;851;25;34;1.667;735;77;15;1.019;43;13.329;63;0;1;1;278;191;9.904;26;121.210
;03:1,51 a 2,00;52.580;177;15;19;2.724;116;11;7;197;8;3.202;14;0;0;0;71;7;903;15;60.066;41.156;659;16;0;11.300;94;21;2;109;3;2.324;24;0;0;0;54;1;4.195;44;60.002;0;0;0;0;93.736;836;31;19;14.024;210;32;9;306;11;5.526;38;0;0;0;125;8;5.098;59;120.068
;04:2,01 a 3,00;47.834;215;48;12;3.928;349;579;13;132;8;1.629;2;0;0;1;54;78;1.327;54;56.263;35.669;424;33;0;13.537;302;51;9;45;18;1.401;6;0;0;2;104;89;4.948;170;56.808;0;0;0;0;83.503;639;81;12;17.465;651;630;22;177;26;3.030;8;0;0;3;158;167;6.275;224;113.071
;05:3,01 a 4,00;19.957;117;36;11;4.254;446;252;5;46;16;525;2;0;0;1;19;25;3.143;16;28.871;17.431;150;24;1;7.624;367;23;3;16;35;621;3;0;0;0;18;19;9.838;74;36.247;0;0;0;0;37.388;267;60;12;11.878;813;275;8;62;51;1.146;5;0;0;1;37;44;12.981;90;65.118
;06:4,01 a 5,00;11.373;62;25;4;8.145;299;116;18;11;4;304;2;0;0;0;8;2;223;42;20.638;11.951;62;18;0;7.637;365;246;5;4;6;267;1;0;0;1;19;6;710;78;21.376;0;0;0;0;23.324;124;43;4;15.782;664;362;23;15;10;571;3;0;0;1;27;8;933;120;42.014
;07:5,01 a 7,00;13.075;57;44;2;11.613;349;132;10;4;4;319;1;0;0;4;7;4;122;5;25.752;12.512;47;31;0;7.568;333;351;4;1;9;246;1;0;0;2;38;8;134;3;21.288;0;0;0;0;25.587;104;75;2;19.181;682;483;14;5;13;565;2;0;0;6;45;12;256;8;47.040
;08:7,01 a 10,00;11.343;53;29;3;9.272;346;29;18;5;1;175;0;0;0;4;7;1;11;6;21.303;10.085;37;23;0;6.883;282;56;5;1;4;113;0;0;0;1;21;1;14;0;17.526;0;0;0;0;21.428;90;52;3;16.155;628;85;23;6;5;288;0;0;0;5;28;2;25;6;38.829
;09:10,01 a 15,00;8.606;22;40;0;8.740;304;170;19;9;0;103;0;0;0;0;2;0;13;0;18.028;6.061;16;18;0;6.378;241;263;5;0;0;80;0;0;0;3;4;0;1;0;13.070;0;0;0;0;14.667;38;58;0;15.118;545;433;24;9;0;183;0;0;0;3;6;0;14;0;31.098
;10:15,01 a 20,00;3.818;8;19;0;3.949;66;43;11;2;1;29;0;0;0;9;5;1;0;0;7.961;2.683;8;2;0;2.661;28;72;0;2;0;20;0;0;0;11;6;2;0;0;5.495;0;0;0;0;6.501;16;21;0;6.610;94;115;11;4;1;49;0;0;0;20;11;3;0;0;13.456
;11:Mais de 20,00;5.748;6;27;0;4.127;41;7;133;4;0;49;0;0;0;68;1;0;0;0;10.211;3.880;10;7;0;2.346;22;6;0;0;0;9;0;0;0;41;0;0;0;0;6.321;0;0;0;0;9.628;16;34;0;6.473;63;13;133;4;0;58;0;0;0;109;1;0;0;0;16.532
;{ñ class};22.405;69;13;19;27;1;0;151;61;85;992;0;0;0;343;23;0;0;0;24.189;18.447;210;5;4;14;0;1;18;53;78;886;4;0;0;186;21;0;0;0;19.927;0;0;2;2;40.852;279;18;23;41;1;1;169;114;163;1.880;4;0;0;529;44;0;0;0;44.118
500270:Campo Grande - MS;Total;109.359;1.631;278;757;24.507;465;3.774;224;140;1.462;9.312;97;0;2;57;229;4.050;316;0;156.660;85.299;1.235;88;164;35.168;517;7.680;19;241;1.564;7.926;76;0;0;31;169;9.392;830;0;150.399;0;0;0;0;194.658;2.866;366;921;59.675;982;11.454;243;381;3.026;17.238;173;0;2;88;398;13.442;1.146;0;307.059
;00:Até 0,50;422;6;0;10;8;0;0;2;5;569;441;2;0;0;0;0;66;0;0;1.531;626;8;1;1;17;0;0;0;6;564;462;5;0;0;0;8;126;0;0;1.824;0;0;0;0;1.048;14;1;11;25;0;0;2;11;1.133;903;7;0;0;0;8;192;0;0;3.355
;01:0,51 a 1,00;3.620;106;10;36;45;27;196;1;30;828;2.439;24;0;1;0;14;297;1;0;7.675;5.598;83;2;25;143;40;509;0;45;909;2.703;22;0;0;0;19;465;3;0;10.566;0;0;0;0;9.218;189;12;61;188;67;705;1;75;1.737;5.142;46;0;1;0;33;762;4;0;18.241
;02:1,01 a 1,50;31.148;593;59;195;460;45;597;1;61;17;3.603;45;0;0;0;83;396;16;0;37.319;34.517;649;31;83;2.158;62;3.433;0;127;16;3.000;39;0;0;0;78;715;38;0;44.946;0;0;0;0;65.665;1.242;90;278;2.618;107;4.030;1;188;33;6.603;84;0;0;0;161;1.111;54;0;82.265
;03:1,51 a 2,00;23.705;373;71;190;678;59;692;0;31;2;1.293;20;0;0;0;59;372;24;0;27.569;13.999;162;21;17;2.390;49;1.071;0;29;6;673;4;0;0;0;20;658;54;0;19.153;0;0;0;0;37.704;535;92;207;3.068;108;1.763;0;60;8;1.966;24;0;0;0;79;1.030;78;0;46.722
;04:2,01 a 3,00;19.546;264;73;159;2.663;73;611;1;2;0;712;4;0;0;0;25;1.101;79;0;25.313;9.684;122;13;6;5.296;81;771;0;3;1;360;2;0;0;0;15;3.362;241;0;19.957;0;0;0;0;29.230;386;86;165;7.959;154;1.382;1;5;1;1.072;6;0;0;0;40;4.463;320;0;45.270
;05:3,01 a 4,00;6.952;53;19;45;2.515;42;385;2;1;1;179;0;0;0;0;8;629;81;0;10.912;4.043;36;9;2;4.495;30;453;0;11;2;141;0;0;0;0;6;1.253;303;0;10.784;0;0;0;0;10.995;89;28;47;7.010;72;838;2;12;3;320;0;0;0;0;14;1.882;384;0;21.696
;06:4,01 a 5,00;3.460;21;14;13;3.307;32;340;1;2;0;60;0;0;0;0;1;749;46;0;8.046;2.357;16;2;2;5.269;25;444;0;0;5;77;1;0;0;0;2;1.678;102;0;9.980;0;0;0;0;5.817;37;16;15;8.576;57;784;1;2;5;137;1;0;0;0;3;2.427;148;0;18.026
;07:5,01 a 7,00;3.345;24;6;16;3.899;106;368;0;0;1;51;1;0;0;0;3;421;36;0;8.277;2.007;19;1;1;5.854;132;481;0;1;1;36;0;0;0;0;2;1.081;53;0;9.669;0;0;0;0;5.352;43;7;17;9.753;238;849;0;1;2;87;1;0;0;0;5;1.502;89;0;17.946
;08:7,01 a 10,00;1.981;13;2;2;3.753;32;311;2;0;0;20;0;0;0;1;1;3;19;0;6.140;1.111;12;0;2;4.008;32;320;0;4;2;15;0;0;0;0;0;9;34;0;5.549;0;0;0;0;3.092;25;2;4;7.761;64;631;2;4;2;35;0;0;0;1;1;12;53;0;11.689
;09:10,01 a 15,00;1.371;4;3;1;3.712;46;157;10;0;0;21;0;0;0;2;0;0;12;0;5.339;816;9;2;1;3.280;66;141;0;0;0;4;0;0;0;0;1;0;2;0;4.322;0;0;0;0;2.187;13;5;2;6.992;112;298;10;0;0;25;0;0;0;2;1;0;14;0;9.661
;10:15,01 a 20,00;685;2;2;1;1.489;3;55;9;0;0;14;0;0;0;0;1;2;2;0;2.265;416;2;0;0;1.197;0;23;0;0;0;7;0;0;0;1;0;0;0;0;1.646;0;0;0;0;1.101;4;2;1;2.686;3;78;9;0;0;21;0;0;0;1;1;2;2;0;3.911
;11:Mais de 20,00;1.107;4;1;2;1.886;0;36;100;0;0;12;0;0;0;11;1;0;0;0;3.160;621;2;0;0;899;0;12;1;0;0;2;0;0;0;6;0;0;0;0;1.543;0;0;0;0;1.728;6;1;2;2.785;0;48;101;0;0;14;0;0;0;17;1;0;0;0;4.703
;{ñ class};12.017;168;18;87;92;0;26;95;8;44;467;1;0;1;43;33;14;0;0;13.114;9.504;115;6;24;162;0;22;18;15;58;446;3;0;0;24;18;45;0;0;10.460;0;0;0;0;21.521;283;24;111;254;0;48;113;23;102;913;4;0;1;67;51;59;0;0;23.574
510340:Cuiabá - MT;Total;100.076;719;1.254;144;37.842;691;2.934;16;19;1.154;8.368;35;0;1;84;527;135;1.567;0;155.566;75.283;918;426;15;36.646;771;4.197;0;26;1.231;6.561;24;0;0;66;376;183;4.331;0;131.054;0;0;0;0;175.359;1.637;1.680;159;74.488;1.462;7.131;16;45;2.385;14.929;59;0;1;150;903;318;5.898;0;286.620
;00:Até 0,50;195;1;0;0;2;0;1;0;0;496;329;1;0;0;0;15;0;0;0;1.040;206;1;0;0;3;0;0;0;6;557;358;5;0;0;1;22;0;1;0;1.160;0;0;0;0;401;2;0;0;5;0;1;0;6;1.053;687;6;0;0;1;37;0;1;0;2.200
;01:0,51 a 1,00;2.756;35;5;11;16;11;208;0;1;591;1.694;5;0;0;0;58;0;5;0;5.396;3.758;51;4;4;40;15;161;0;11;562;1.833;5;0;0;0;73;0;11;0;6.528;0;0;0;0;6.514;86;9;15;56;26;369;0;12;1.153;3.527;10;0;0;0;131;0;16;0;11.924
;02:1,01 a 1,50;24.988;208;44;50;450;131;469;0;7;32;3.309;11;0;0;0;187;0;21;0;29.907;28.648;404;69;9;967;119;506;0;3;60;2.886;10;0;0;0;175;0;121;0;33.977;0;0;0;0;53.636;612;113;59;1.417;250;975;0;10;92;6.195;21;0;0;0;362;0;142;0;63.884
;03:1,51 a 2,00;23.261;171;111;33;714;48;284;0;9;2;1.551;8;0;1;0;159;2;76;0;26.430;13.528;161;50;0;2.208;25;653;0;1;0;679;1;0;0;0;57;1;187;0;17.551;0;0;0;0;36.789;332;161;33;2.922;73;937;0;10;2;2.230;9;0;1;0;216;3;263;0;43.981
;04:2,01 a 3,00;18.411;80;135;20;1.274;84;521;0;1;3;725;2;0;0;0;36;41;495;0;21.828;9.319;90;96;0;3.902;95;796;0;0;1;346;0;0;0;0;15;44;1.130;0;15.834;0;0;0;0;27.730;170;231;20;5.176;179;1.317;0;1;4;1.071;2;0;0;0;51;85;1.625;0;37.662
;05:3,01 a 4,00;7.236;32;430;10;1.746;105;404;0;0;0;202;1;0;0;1;10;54;356;0;10.587;4.088;32;80;0;4.380;117;887;0;1;0;83;1;0;0;1;8;80;1.595;0;11.353;0;0;0;0;11.324;64;510;10;6.126;222;1.291;0;1;0;285;2;0;0;2;18;134;1.951;0;21.940
;06:4,01 a 5,00;3.398;13;182;6;2.287;76;179;0;0;2;79;0;0;0;1;1;27;121;0;6.372;2.003;30;35;0;3.783;133;189;0;0;8;42;0;0;0;0;0;46;413;0;6.682;0;0;0;0;5.401;43;217;6;6.070;209;368;0;0;10;121;0;0;0;1;1;73;534;0;13.054
;07:5,01 a 7,00;3.002;4;67;1;8.763;44;460;0;1;0;50;0;0;0;0;4;8;386;0;12.790;1.907;20;31;0;8.745;57;652;0;0;2;19;0;0;0;0;0;12;784;0;12.229;0;0;0;0;4.909;24;98;1;17.508;101;1.112;0;1;2;69;0;0;0;0;4;20;1.170;0;25.019
;08:7,01 a 10,00;1.907;3;46;0;11.388;104;113;0;0;0;31;0;0;0;1;1;1;44;0;13.639;1.173;4;17;0;5.488;113;137;0;0;0;9;0;0;0;1;1;0;48;0;6.991;0;0;0;0;3.080;7;63;0;16.876;217;250;0;0;0;40;0;0;0;2;2;1;92;0;20.630
;09:10,01 a 15,00;1.292;1;37;1;6.032;86;184;0;0;0;23;0;0;0;2;2;2;47;0;7.709;697;1;15;0;4.093;97;166;0;0;0;10;0;0;0;2;0;0;19;0;5.100;0;0;0;0;1.989;2;52;1;10.125;183;350;0;0;0;33;0;0;0;4;2;2;66;0;12.809
;10:15,01 a 20,00;530;5;29;0;2.381;2;20;0;0;0;3;0;0;0;1;1;0;11;0;2.983;301;4;4;0;1.774;0;17;0;0;0;6;0;0;0;3;0;0;7;0;2.116;0;0;0;0;831;9;33;0;4.155;2;37;0;0;0;9;0;0;0;4;1;0;18;0;5.099
;11:Mais de 20,00;1.116;4;46;0;2.738;0;31;0;0;0;1;0;0;0;10;1;0;4;0;3.951;625;1;6;0;1.188;0;10;0;0;0;1;0;0;0;16;0;0;3;0;1.850;0;0;0;0;1.741;5;52;0;3.926;0;41;0;0;0;2;0;0;0;26;1;0;7;0;5.801
;{ñ class};11.984;162;122;12;51;0;60;16;0;28;371;7;0;0;68;52;0;1;0;12.934;9.030;119;19;2;75;0;23;0;4;41;289;2;0;0;42;25;0;12;0;9.683;0;0;0;0;21.014;281;141;14;126;0;83;16;4;69;660;9;0;0;110;77;0;13;0;22.617
520870:Goiânia - GO;Total;245.613;1.636;692;287;43.810;890;6.866;467;502;6.893;17.651;120;17;7;299;316;384;8.599;3;335.052;191.429;2.416;555;63;60.488;450;8.420;11;3.648;7.663;13.889;64;1;1;151;293;402;18.007;6;307.957;0;0;0;0;437.042;4.052;1.247;350;104.298;1.340;15.286;478;4.150;14.556;31.540;184;18;8;450;609;786;26.606;9;643.009
;00:Até 0,50;817;6;7;0;11;1;3;10;3;5.244;849;2;0;0;0;5;0;0;0;6.958;715;9;1;1;19;0;17;1;1;5.669;812;1;0;0;0;2;0;0;0;7.248;0;0;0;0;1.532;15;8;1;30;1;20;11;4;10.913;1.661;3;0;0;0;7;0;0;0;14.206
;01:0,51 a 1,00;9.174;100;29;32;463;17;458;25;92;1.397;4.396;20;0;1;0;12;0;17;0;16.233;10.111;85;14;6;843;5;677;0;765;1.780;4.236;17;0;0;0;21;1;56;0;18.617;0;0;0;0;19.285;185;43;38;1.306;22;1.135;25;857;3.177;8.632;37;0;1;0;33;1;73;0;34.850
;02:1,01 a 1,50;72.402;475;157;96;1.769;22;818;8;152;41;6.459;51;0;5;0;75;132;3.356;2;86.020;75.721;1.170;179;31;6.299;51;964;0;1.236;44;5.432;33;0;0;0;97;157;6.289;0;97.703;0;0;0;0;148.123;1.645;336;127;8.068;73;1.782;8;1.388;85;11.891;84;0;5;0;172;289;9.645;2;183.723
;03:1,51 a 2,00;49.246;313;172;71;1.434;133;934;6;8;5;2.634;19;0;0;3;113;0;1.071;0;56.162;33.891;494;136;14;5.928;116;1.207;0;27;5;1.348;8;0;1;0;88;3;2.838;0;46.104;0;0;0;0;83.137;807;308;85;7.362;249;2.141;6;35;10;3.982;27;0;1;3;201;3;3.909;0;102.266
;04:2,01 a 3,00;43.070;279;154;56;2.307;447;1.217;13;102;2;1.524;21;0;0;2;58;112;1.005;1;50.370;24.883;256;118;2;6.382;174;1.394;2;1.046;1;850;2;0;0;1;38;93;2.654;6;37.902;0;0;0;0;67.953;535;272;58;8.689;621;2.611;15;1.148;3;2.374;23;0;0;3;96;205;3.659;7;88.272
;05:3,01 a 4,00;16.066;67;51;6;2.842;120;790;12;21;1;454;1;0;0;1;12;81;2.358;0;22.883;11.127;92;44;1;5.358;37;797;1;173;1;289;1;0;0;0;10;91;4.895;0;22.917;0;0;0;0;27.193;159;95;7;8.200;157;1.587;13;194;2;743;2;0;0;1;22;172;7.253;0;45.800
;06:4,01 a 5,00;8.213;46;21;1;4.297;57;690;13;36;0;165;3;0;0;1;3;29;560;0;14.135;5.654;32;24;0;9.067;31;997;0;267;1;104;1;0;0;0;7;29;911;0;17.125;0;0;0;0;13.867;78;45;1;13.364;88;1.687;13;303;1;269;4;0;0;1;10;58;1.471;0;31.260
;07:5,01 a 7,00;8.973;21;15;1;11.460;54;902;10;8;2;141;0;0;0;3;6;20;219;0;21.835;5.397;28;14;0;12.056;20;1.264;0;24;2;76;0;0;0;0;2;26;363;0;19.272;0;0;0;0;14.370;49;29;1;23.516;74;2.166;10;32;4;217;0;0;0;3;8;46;582;0;41.107
;08:7,01 a 10,00;5.973;15;8;0;9.562;19;649;17;2;1;80;0;0;0;17;3;5;13;0;16.364;3.514;10;8;0;7.537;9;725;0;1;2;36;0;0;0;4;0;0;1;0;11.847;0;0;0;0;9.487;25;16;0;17.099;28;1.374;17;3;3;116;0;0;0;21;3;5;14;0;28.211
;09:10,01 a 15,00;3.774;11;6;2;4.576;12;210;11;0;2;55;0;0;0;6;0;2;0;0;8.667;2.141;6;1;0;3.871;7;217;1;0;0;11;0;0;0;2;0;1;0;0;6.258;0;0;0;0;5.915;17;7;2;8.447;19;427;12;0;2;66;0;0;0;8;0;3;0;0;14.925
;10:15,01 a 20,00;1.568;12;0;0;2.299;5;105;14;0;0;19;0;0;0;25;2;3;0;0;4.052;823;7;0;0;1.724;0;84;1;0;0;4;0;0;0;13;1;1;0;0;2.658;0;0;0;0;2.391;19;0;0;4.023;5;189;15;0;0;23;0;0;0;38;3;4;0;0;6.710
;11:Mais de 20,00;2.241;10;2;0;2.752;2;34;82;2;0;32;0;0;0;31;0;0;0;0;5.188;1.672;17;1;0;1.380;0;16;0;0;0;6;0;0;0;17;2;0;0;0;3.111;0;0;0;0;3.913;27;3;0;4.132;2;50;82;2;0;38;0;0;0;48;2;0;0;0;8.299
;{ñ class};24.096;281;70;22;38;1;56;246;76;198;843;3;17;1;210;27;0;0;0;26.185;15.780;210;15;8;24;0;61;5;108;158;685;1;1;0;114;25;0;0;0;17.195;0;0;0;0;39.876;491;85;30;62;1;117;251;184;356;1.528;4;18;1;324;52;0;0;0;43.380
